"Week","Year","Industry","Revenue","Source"
"Week 17","2020","PETRO&CHEMICALS",632.01648,"CN"
"Week 17","2020","RTMs TOTAL",3972.65311,"CN"
"Week 18","2020","AUTOMOTIVE",11.2338,"CN"
"Week 18","2020","COAL",326.2687,"CN"
"Week 18","2020","FOREST PRODUCTS",448.7982,"CN"
"Week 18","2020","GRAIN & FERTS",1250.8737,"CN"
"Week 18","2020","INTERMODAL",1108.5436,"CN"
"Week 18","2020","METALS&MINERALS",229.7864,"CN"
"Week 18","2020","PETRO&CHEMICALS",660.8472,"CN"
"Week 18","2020","RTMs TOTAL",4036.3515,"CN"
"Week 19","2020","AUTOMOTIVE",9.974757,"CN"
"Week 19","2020","COAL",325.785254,"CN"
"Week 19","2020","FOREST PRODUCTS",466.058711,"CN"
"Week 19","2020","GRAIN & FERTS",1177.596795,"CN"
"Week 19","2020","INTERMODAL",1081.878592,"CN"
"Week 19","2020","METALS&MINERALS",235.24052,"CN"
"Week 19","2020","PETRO&CHEMICALS",646.762759,"CN"
"Week 19","2020","RTMs TOTAL",3943.297388,"CN"
"Week 20","2020","AUTOMOTIVE",13.25055,"CN"
"Week 20","2020","COAL",271.53636,"CN"
"Week 20","2020","FOREST PRODUCTS",426.8765,"CN"
"Week 20","2020","GRAIN & FERTS",1098.50625,"CN"
"Week 20","2020","INTERMODAL",952.31684,"CN"
"Week 20","2020","METALS&MINERALS",226.45428,"CN"
"Week 20","2020","PETRO&CHEMICALS",648.57581,"CN"
"Week 20","2020","RTMs TOTAL",3637.51659,"CN"
"Week 21","2020","AUTOMOTIVE",22.9684,"CN"
"Week 21","2020","COAL",336.9888,"CN"
"Week 21","2020","FOREST PRODUCTS",451.5835,"CN"
"Week 21","2020","GRAIN & FERTS",1053.5468,"CN"
"Week 21","2020","INTERMODAL",1135.8906,"CN"
"Week 21","2020","METALS&MINERALS",232.2919,"CN"
"Week 21","2020","PETRO&CHEMICALS",715.5138,"CN"
"Week 21","2020","RTMs TOTAL",3948.7838,"CN"
"Week 22","2020","AUTOMOTIVE",33.25755,"CN"
"Week 22","2020","COAL",345.47593,"CN"
"Week 22","2020","FOREST PRODUCTS",450.95173,"CN"
"Week 22","2020","GRAIN & FERTS",1033.59932,"CN"
"Week 22","2020","INTERMODAL",1059.54588,"CN"
"Week 22","2020","METALS&MINERALS",295.10826,"CN"
