"GEO","Category","Date","Volumes","Prices","YoY_Prices","YoY_Vol","Nominal Grwoth"
"Advanced economies","World Imports",2021-11-01,129.742510107716,114.056538664913,0.159688300603985,0.0570828023294791,0.216771102933464
"Advanced economies","World Imports",2021-12-01,132.364804058643,114.221108231851,0.150545181379809,0.0835039572757834,0.234049138655593
"Advanced economies","World Imports",2022-01-01,131.968010123048,114.53875196509,0.121613502667409,0.084174857167301,0.20578835983471
"Advanced economies","World Imports",2022-02-01,130.805077603437,117.448277008212,0.132182970733909,0.0730660127305708,0.20524898346448
"Advanced economies","World Imports",2022-03-01,131.69749409035,119.840861990598,0.143492138911236,0.0503904514456793,0.193882590356916
"Advanced economies","World Imports",2022-04-01,131.500814216604,121.514525491576,0.151116906188385,0.050692848469242,0.201809754657627
"Advanced economies","World Imports",2022-05-01,133.919732382315,122.30173441422,0.145430085896376,0.0717079951475039,0.21713808104388
"Advanced economies","World Imports",2022-06-01,132.290215278768,120.950772252936,0.109019477708823,0.0563007824792598,0.165320260188082
"Advanced economies","World Imports",2022-07-01,131.847986215,122.267916387589,0.113246445351103,0.0604396651575756,0.173686110508679
"Advanced economies","World Imports",2022-08-01,134.105096721761,120.348756576297,0.0911664462625548,0.0737013810827561,0.164867827345311
"Advanced economies","World Imports",2022-09-01,133.791008567384,120.389198808764,0.0878103336926043,0.0716007631809001,0.159411096873504
"Advanced economies","World Imports",2022-10-01,133.114777597869,117.479694700037,0.0482172149373754,0.0592102030655799,0.107427418002955
"Advanced economies","World Imports",2022-11-01,128.840273083693,115.43110007675,0.0120515792248906,-0.0069540586448799,0.00509752058001066
"Euro Area","World Imports",2000-02-01,80.8489866371475,58.7253487237701,-0.48728838304726,-0.387359204993973,-0.874647588041233
"Euro Area","World Imports",2000-03-01,81.5424899320232,57.5087420871497,-0.510348354594179,-0.376610668132958,-0.886959022727137
"Euro Area","World Imports",2000-04-01,81.2596197222916,57.0723387303162,-0.52376561898567,-0.382982794900075,-0.906748413885745
"Euro Area","World Imports",2000-05-01,86.2690999413864,55.9441704904256,-0.539609192694383,-0.34396527918613,-0.883574471880513
"Euro Area","World Imports",2000-06-01,81.4619296108451,54.4411039540641,-0.554862372027537,-0.3917107795714,-0.946573151598937
"Euro Area","World Imports",2000-07-01,83.5840905638702,57.4794340287982,-0.524770012145144,-0.368176320616472,-0.892946332761616
"Euro Area","World Imports",2000-08-01,85.1906953871895,57.2003685185951,-0.532171887698895,-0.353871850205797,-0.886043737904692
"Euro Area","World Imports",2000-09-01,85.1669538943541,55.4872466406807,-0.538946240749038,-0.364923809935001,-0.903870050684039
"Euro Area","World Imports",2000-10-01,86.8678810379929,54.3728788258179,-0.548357499145848,-0.350719588945756,-0.899077088091604
"Euro Area","World Imports",2000-11-01,87.4001771437805,53.790277712218,-0.542131277668352,-0.343422430469661,-0.885553708138013
"Euro Area","World Imports",2000-12-01,89.4577176619296,54.2293273826054,-0.53020176237991,-0.30566960531185,-0.83587136769176
"Euro Area","World Imports",2001-01-01,86.8354591163573,56.1134609006527,NA,0.0791774928440456,NA
"Euro Area","World Imports",2001-02-01,85.3646685969878,57.7740151219613,-0.0161997097077046,0.0558532907791015,0.0396535810713969
"Euro Area","World Imports",2001-03-01,85.5376340538314,57.050756228764,-0.00796376066949366,0.0489946299792745,0.0410308693097809
"Euro Area","World Imports",2001-04-01,85.5191341137049,56.047355486301,-0.0179593699297754,0.0524185863282449,0.0344592163984695
"Euro Area","World Imports",2001-05-01,84.4762928938155,55.0513824104347,-0.0159585542544365,-0.0207815666187428,-0.0367401208731793
"Euro Area","World Imports",2001-06-01,84.464551202054,54.340557350024,-0.00184688767746032,0.0368592004332924,0.035012312755832
"Euro Area","World Imports",2001-07-01,84.0011483335928,53.5322382120322,-0.068671445421477,0.00498967886004452,-0.0636817665614325
"Euro Area","World Imports",2001-08-01,82.6187956610011,53.6903960173712,-0.0613627602780715,-0.0301899135169538,-0.0915526737950253
"Euro Area","World Imports",2001-09-01,82.4694731220692,55.5040706026945,0.000303204124052909,-0.0316728572402742,-0.0313696531162213
"Euro Area","World Imports",2001-10-01,83.0390114891024,55.3767685544207,0.0184630600821916,-0.0440769304274371,-0.0256138703452455
"Euro Area","World Imports",2001-11-01,83.3715481599778,54.3690198010687,0.010759232215662,-0.0460940597085434,-0.0353348274928814
"Euro Area","World Imports",2001-12-01,81.4147960254549,53.0622487808777,-0.0215211705189257,-0.0899075210801797,-0.111428691599105
"Euro Area","World Imports",2002-01-01,81.9294655640278,53.5369406200638,-0.0459162603630981,-0.0564975829258368,-0.102413843288935
"Euro Area","World Imports",2002-02-01,83.423738073658,53.1191118396936,-0.0805708807400899,-0.0227369303393311,-0.103307811079421
"Euro Area","World Imports",2002-03-01,82.7759757947498,52.6046042182396,-0.0779332703793807,-0.03228588550092,-0.110219155880301
"Euro Area","World Imports",2002-04-01,83.275763726043,53.422100431148,-0.0468399451209551,-0.0262323795827861,-0.0730723247037411
"Euro Area","World Imports",2002-05-01,80.5438178148222,54.1721865258274,-0.0159704597071236,-0.0465512269097356,-0.0625216866168592
"Euro Area","World Imports",2002-06-01,84.9531348489879,56.0791763738645,0.0319948691847514,0.00578448165509252,0.0377793508398439
"Euro Area","World Imports",2002-07-01,83.1299233579282,57.8914227864896,0.0814310165248724,-0.0103715841145969,0.0710594324102755
"Euro Area","World Imports",2002-08-01,83.6820627865946,59.7222377928071,0.11234489262259,0.012869554888651,0.125214447511241
"Euro Area","World Imports",2002-09-01,84.602471082129,58.8951771954967,0.0610965386138288,0.0258640910304179,0.0869606296442466
"Euro Area","World Imports",2002-10-01,85.2208066750671,59.2131118109132,0.0692771239030025,0.0262743395765377,0.0955514634795402
"Euro Area","World Imports",2002-11-01,85.3866558927619,59.4382175733488,0.0932368799516311,0.0241702088693062,0.117407088820937
"Euro Area","World Imports",2002-12-01,84.6919637872295,60.2090063933214,0.134686293488172,0.0402527295007895,0.174939022988962
"Euro Area","World Imports",2003-01-01,85.6413722157999,61.5099953647454,0.148926230231646,0.0453061255339358,0.194232355765582
"Euro Area","World Imports",2003-02-01,85.8117065089069,64.6608578936672,0.217280478800268,0.0286245676637082,0.245905046463976
"Euro Area","World Imports",2003-03-01,86.7413950366535,65.4012150438863,0.243260281411066,0.0479054363760846,0.29116571778715
