year,week_no,geo_zone,card_present,indexed_volume_current,yoy_vol_Growth,yoy_txn_Growth,ats_current,ATS_prior,ATS_YOY_Growth
2022,39,CANADA,CNP,1.5087774527974969,-0.010035961282371296,0.004328056966800744,269.2311395268208,277.8191401686735,-0.03091219934176834
2022,45,CANADA,CNP,1.5313952286581813,0.1004661294265917,0.04452126519224041,249.87630683973882,243.9026269768422,0.024492068564164277
2021,24,CANADA,CNP,1.4354252095848874,0.17553034587155023,0.09475799346500886,278.85553543823175,260.7503293997502,0.06943502652579532
2022,25,CANADA,CNP,1.4090715141581835,0.13609829898878506,0.041428725451991714,278.165525534013,255.62198760942297,0.08819091868980916
2022,44,CANADA,CNP,1.9051027548313908,0.0975158886194562,0.03378754544190389,257.21109826646574,247.96952751310295,0.03726897754755153
2020,43,CANADA,CNP,1.3620845748091077,0.04234588893583983,0.11670309969987669,228.9699437594411,240.31885038495528,-0.04722437131891617
2021,51,CANADA,CNP,1.2455361912113643,0.08062227510177351,-0.055839905086950636,256.62881606926965,221.62006358480423,0.15796743272329725
2021,25,CANADA,CNP,1.2233258854859186,0.14958283074330128,0.11791148345213615,255.62198760942294,250.09193820005513,0.02211206586333138
2019,9,CANADA,CNP,1.1279502391977332,0.09551482933615672,0.12445117681805097,245.43299697135907,244.79194582659713,0.002618759136855123
2019,40,CANADA,CNP,1.0657322846230104,0.08185518631501904,0.14600168155480361,240.37748282304497,257.2585377107566,-0.06561902682775693
2022,8,CANADA,CNP,1.3607933034802622,0.11174003394791694,0.09893275013838458,250.92847431302755,264.2618536411866,-0.05045517975614831
2019,46,CANADA,CNP,1.200971527337488,0.055430536939917646,0.17250770760664558,249.18676145191287,279.7607594795852,-0.10928622757725745
2022,19,CANADA,CNP,1.5120770135865584,0.08142209431819089,0.04150316246778968,269.0412944176688,263.5799109059858,0.020720029432102504
2020,52,CANADA,CNP,1.291264965865445,0.0936908462809449,0.1400404937337356,243.71486036687503,254.14645409720936,-0.04104560013394604
2022,7,CANADA,CNP,1.3978039536242843,0.10150218855797372,0.02221127286409206,260.12748753793625,258.5279888647914,0.006186945870612846
2020,44,CANADA,CNP,1.5429290777326412,0.18118078205824853,0.1292036478420363,231.83720974522635,217.83830598889395,0.06426281958438523
2022,29,CANADA,CNP,1.5176035414133353,0.1369418348460029,0.06332076407375005,267.3024477984886,253.28716682004298,0.05533356132647356
2022,27,CANADA,CNP,1.4004639830347245,0.1312590982020894,0.06805668451744712,249.66520854607688,240.1309278204953,0.03970450958615686
2021,36,CANADA,CNP,1.3306521755363825,0.16868642819827034,0.17629981291403135,255.7471518808487,249.4131422704081,0.025395652982766293
2020,5,CANADA,CNP,1.1307730041909498,0.10840898596141837,0.18681059824152102,225.1165206761195,242.8203486095711,-0.07290916117543941
2022,28,CANADA,CNP,1.4400964109861183,0.08860450456659325,0.05804282519425378,274.79848644705055,269.4918252785919,0.01969136230003571
2022,10,CANADA,CNP,1.4247946616103395,0.08707986958683689,0.051263671374316706,262.10332309293824,269.7772237308591,-0.02844532437466492
2019,49,CANADA,CNP,1.0760830949422446,0.071420236789202,0.08820132747551378,250.54877979058367,259.2661436803363,-0.03362322502278111
2019,44,CANADA,CNP,1.291453238424993,0.17657598648523368,0.31392496591606905,217.83830598889398,247.73760228404214,-0.12068937464272095
2021,15,CANADA,CNP,1.45247144514111,0.1298444253813301,0.035480359626753215,263.12080817869867,237.26468472371886,0.10897586164197923
2018,49,CANADA,CNP,1.018240840883578,0.11874142999146703,0.06635684822614615,259.2661436803364,236.9318437764387,0.09426466087425396
2021,9,CANADA,CNP,1.3232182507459682,0.23220343519041972,0.05502278789222237,282.903059017331,247.1604308273503,0.14461306799933554
2019,7,CANADA,CNP,0.9702913895975483,0.08062989602366163,0.09733368295144738,240.37097319391432,240.06491078339462,0.0012749152282228128
2019,3,CANADA,CNP,0.8500917142993417,0.06501820041297304,0.10069535084184218,229.19704855069034,231.86896114021891,-0.011523373272513087
2020,17,CANADA,CNP,1.259188792465856,0.03315839656563852,0.11511173230067795,255.9371428085246,269.33882386931367,-0.049757702466584286
2022,5,CANADA,CNP,1.5615052378398033,0.17313189831526307,0.11120009225242453,252.7318385225022,250.32935452145782,0.009597292357650505
2020,40,CANADA,CNP,1.211215416010949,0.14879949830275416,0.11391569350028617,247.14845399526078,240.37748282304494,0.028168075864245242
2021,39,CANADA,CNP,1.5040563925881862,0.1253836355039602,0.11887747828015062,277.8191401686736,277.4290988102746,0.0014059136553146523
2021,6,CANADA,CNP,1.1765026174990756,0.1721687125911495,0.04482263444617377,274.38749820986743,241.67655327199398,0.13535009704089515
2022,3,CANADA,CNP,1.305626510694361,0.18851937593068804,0.06606576734365394,250.74516870371485,236.40742883568842,0.060648431983039215
2021,21,CANADA,CNP,1.2827063548535977,0.12681731813834587,0.08258628329298079,256.9492254420557,249.48267217114147,0.029928143730127622
2021,11,CANADA,CNP,1.4996384323222267,0.24558999045505106,0.04881150703927025,271.7030472083066,228.75661004846924,0.187738562617875
2022,33,CANADA,CNP,1.6407510544505919,0.15202166871113945,0.07200589573590933,273.7517459878972,258.1305994808671,0.060516446087547145
2019,33,CANADA,CNP,1.1445346417117246,0.08087828636537604,0.10297806654900164,248.0637063497976,250.62522169128772,-0.010220501050150953
2019,26,CANADA,CNP,1.2345681052955693,0.03125192724145041,0.08081926979028103,269.9883615127112,278.1881019168024,-0.029475525184551137
2022,32,CANADA,CNP,1.3649576318509813,0.11832379883988607,0.04781332203855339,257.84365933922066,244.37304519478513,0.05512315866792247
2019,36,CANADA,CNP,1.0520726760191432,0.12737448037856977,0.15223673208095856,252.69867834390752,255.62275156269266,-0.011439017853103724
2019,22,CANADA,CNP,1.0458527160693822,0.07393622792978756,0.12522510357833422,241.6721093118587,246.40574047419483,-0.019210717872183154
2021,22,CANADA,CNP,1.3247651846644246,0.10809264092352075,0.07448689739254416,260.5759636237934,250.3654433167438,0.040782466508894465
2022,23,CANADA,CNP,1.4951314647021394,0.12151038581287536,0.09676093517837811,265.60547201229764,262.3615519894416,0.012364311760842942
2022,47,CANADA,CNP,1.3666517371635742,0.19855938029936485,0.17674931339140942,251.14346108804037,254.1411671193749,-0.011795436628047166
2021,35,CANADA,CNP,1.5007948684842112,0.051508850615839874,0.06864380705307489,267.4766983892467,267.8689049578111,-0.0014641735614149623
2021,10,CANADA,CNP,1.2771834536095474,0.36701725505698907,0.061685364342479024,269.777223730859,209.26222253871367,0.2891826363019251
2020,38,CANADA,CNP,1.1075695451127876,0.04782654943084283,-0.019738148652127543,253.65431541353385,238.97775915612027,0.06141390022753383
2019,51,CANADA,CNP,0.9728542529398114,0.04917029458532435,0.06360193985726338,228.68006180913522,233.9838747246174,-0.022667429205215098
2021,38,CANADA,CNP,1.300483759381466,0.15129380195049805,0.1376657228293948,256.60761425101276,253.65431541353377,0.01164300647778935
2022,42,CANADA,CNP,1.58810790376655,0.09886745363447255,0.04121624323782267,256.53496119672644,248.1808792757771,0.03366126329041785
2021,27,CANADA,CNP,1.2329738299511819,0.1775607913007894,0.17254275003181171,240.13092782049526,238.91431699874565,0.005092247451022365
